iteration,elapsed time,mean reward,stddev reward,min reward,max reward
0,0.021832021077473958,23.53725050777197,17.705298219171016,0.0,85.53102111816406
100,2.038847204049428,29.534808422327043,22.183919357063964,0.0,93.80958557128906
200,3.5306721448898317,30.196203269958495,23.189050238247493,0.9911978244781494,89.02091979980469
300,4.711722111701965,31.861695561408997,23.334724155047567,0.0,93.58699035644531
400,5.883468794822693,30.56180547744036,22.15626443592335,0.0,85.62151336669922
500,7.055953482786815,33.56270385295153,23.49398402508564,0.0,89.27558135986328
600,8.586617306868236,31.829014139175413,23.820054798879745,0.0,94.27519989013672
700,10.270606696605682,28.45995474457741,22.24017501582456,0.0,85.60153198242188
800,11.9925847530365,30.909850262105465,23.198968386186774,0.0,94.97530364990234
900,13.523799169063569,28.453405326902868,22.747458915232237,0.0,87.47071838378906
1000,14.977199304103852,29.573481021523477,23.099536403483828,0.0,95.09954833984375
1100,16.99570122162501,29.340069429278373,22.450569534374594,0.0,97.06656646728516
1200,19.019033614794413,31.837570898234844,22.23438350653299,0.9890761971473694,87.27495574951172
1300,20.506139755249023,28.046411480903625,21.55957264060177,0.0,91.21347045898438
1400,21.695513474941254,31.99670904189348,23.510515896593926,0.0,97.13961029052734
1500,22.9021946032842,32.604014084637164,24.79055987978696,0.0,92.68293762207031
1600,24.103835515181224,30.90177677720785,22.89963213707942,0.0,97.38507080078125
1700,25.298494573434194,28.560499382615088,21.99029277419207,0.0,86.42203521728516
1800,26.47692089478175,31.772871086597444,22.76465325629757,0.0,81.95067596435547
1900,27.67019367615382,31.50570032954216,21.695924157494396,0.0,85.03002166748047
2000,28.842780987421673,31.180693174004556,23.445194706276585,0.0,98.22602844238281
2100,30.038669335842133,31.673805390000343,23.10898026618733,0.0,89.58301544189453
2200,31.23263463973999,31.339911430180074,21.991009169767757,0.0,95.03707122802734
2300,32.404594294230144,28.72229047715664,21.485654077564355,0.0,84.73210144042969
2400,33.59501203695933,30.742395336031915,21.694603529051776,0.0,91.4604263305664
2500,34.78288809855779,31.375210314393044,23.006227115350168,0.0,88.26961517333984
2600,35.97221468687057,27.881038914620877,21.761272000757035,0.0,80.80532836914062
2700,37.13086103995641,28.30689022243023,21.744538031170197,0.0,91.70964050292969
2800,38.29626719951629,32.645661335587505,21.471110132998316,0.0,94.04454803466797
2900,39.47760305802027,29.612709605693816,21.73598928307324,0.0,90.5272216796875
3000,40.65924337307612,27.784828790426253,21.524458140242984,0.0,87.13748931884766
3100,41.83076184590657,27.82220862984657,20.840136878175258,0.0,87.89692687988281
3200,43.01546554962794,31.83867005556822,22.877410446892583,0.0,94.00324249267578
3300,44.2062096675237,31.559682677686215,23.32614457936,0.0,86.47014617919922
3400,45.393625394503275,28.90876571327448,21.161368014639457,0.0,94.00641632080078
3500,46.5851343313853,31.606274544894696,23.503444840863374,0.0,97.77140808105469
3600,47.78128783305486,30.45953249156475,22.68507636547808,0.9952205419540405,94.09709167480469
3700,48.972892514864604,29.55403621226549,23.15560877733948,0.0,96.35082244873047
3800,50.15543200174967,31.184320807754993,22.017304938155494,0.0,89.6189956665039
3900,51.35036377906799,28.750458480119704,22.392534293154718,0.0,93.51470947265625
4000,52.544402007261915,31.607064939141274,23.714620692214183,0.0,88.08307647705078
4100,53.7384423216184,31.30703442543745,23.883651297683798,0.0,95.97927856445312
4200,54.91870289643605,28.999488483667374,21.825138372104572,0.0,85.13191986083984
4300,56.09103577931722,32.46383290529251,24.44584314269023,0.0,97.48487854003906
4400,57.272263542811075,29.451336077153684,23.116286987914698,0.0,95.091064453125
4500,58.447405167420705,32.382824666798115,22.359576893259064,0.0,83.36715698242188
4600,59.63874209324519,34.545370721817015,23.18235054200054,0.0,91.13710021972656
4700,60.813435943921405,31.151738672852517,22.782326498515765,0.0,89.03315734863281
4800,61.9816747546196,32.51151958107948,23.698455044726078,0.0,92.6398696899414
4900,63.17298855781555,29.760403607487678,21.690343804865016,0.0,95.95159912109375
5000,64.34601043860117,29.31369690477848,21.95175306413248,0.0,94.3967514038086
5100,65.54698706070582,29.153161984086037,21.118326329419272,0.0,92.45927429199219
5200,66.74268210728964,34.95900460422039,23.870962425761338,0.0,89.96239471435547
5300,67.95006091594696,34.36976013958454,25.125697677443743,0.0,100.0865249633789
5400,69.13017115195592,31.536339074671268,23.178508436980824,0.0,90.64373016357422
5500,70.32147944370905,30.10881163418293,21.76557332307602,0.0,87.83096313476562
5600,71.50866496960322,31.473001146316527,22.84814219267687,0.0,96.07672119140625
5700,72.71218650341034,32.13432567834854,24.146367046369317,0.0,95.47783660888672
5800,73.90932458639145,32.029490332901474,22.359355172884644,0.0,96.69176483154297
5900,75.10870480537415,30.716665269136428,22.341717897358055,0.0,95.39483642578125
6000,76.32558012803396,32.18185618966818,22.235244153871783,0.0,81.1661376953125
6100,77.5164852420489,29.407084155082703,22.18110576690646,0.0,95.5134506225586
6200,78.68389211893081,31.56531855136156,22.870752664514765,0.0,97.59793853759766
6300,79.87049038807551,27.3891845574975,22.06453310142733,0.0,95.86286163330078
6400,81.05264454682668,29.133369266986847,23.294829416393313,0.0,91.04984283447266
6500,82.23706723054251,31.273507253229617,22.649192976333698,0.0,89.55809020996094
6600,83.42217665910721,31.63403431981802,22.07206192655141,0.0,89.1463394165039
6700,84.59865286747615,28.93116012096405,23.00521769056319,0.0,90.62090301513672
6800,85.78791352113087,31.99194941461086,22.552017946192557,0.0,87.75199890136719
6900,86.9516242702802,32.33550511002541,24.24653945717815,0.0,96.23865509033203
7000,88.13612964948018,31.132225217819215,22.6929713639413,0.0,90.72652435302734
7100,89.31648161411286,29.922319706380367,21.88109606718561,0.0,88.7540283203125
7200,90.50138229529063,30.850866742134095,22.491446086885997,0.0,89.65908813476562
7300,91.66278074185054,31.414732288122178,22.564875066384996,0.0,82.82801055908203
7400,92.83395550648372,29.417122205495833,21.903662024749384,0.0,96.13629913330078
7500,94.03342997630438,31.11884343713522,22.966616609561623,0.0,89.90367889404297
7600,95.20186442931494,28.388311315476894,21.80520463250574,0.0,84.48685455322266
7700,96.37095957597097,29.13668897897005,22.896983744455845,0.0,95.90018463134766
7800,97.55836964448294,29.876980310082434,21.814307907851965,0.0,93.96759033203125
7900,98.74603654940923,31.10686794668436,24.004017939462905,0.0,91.65745544433594
8000,99.93429845571518,33.738593070805074,24.323863598132178,0.0,98.14935302734375
8100,101.13063636620839,29.455581023693085,22.415095032015643,0.0,87.29896545410156
8200,102.32852851947149,31.814412325918674,23.92971002319571,0.0,93.23662567138672
8300,103.53425025145212,28.910116930902003,23.38046207772233,0.0,84.99065399169922
