iteration,elapsed time,mean reward,stddev reward,min reward,max reward
0,0.014143697420756022,16.770327960848807,11.613194437237368,0.0,56.9734001159668
100,1.3196288704872132,16.338119091689588,11.89203637900673,0.0,53.35535430908203
200,2.6033125638961794,17.50776661634445,12.261919275240885,0.0,58.219757080078125
300,3.8773934602737428,18.336075078845024,13.144755442346998,0.0,80.93533325195312
400,5.172049450874328,18.738286802470682,14.02692197005258,0.0,59.6287727355957
500,6.448810231685639,19.348774721622465,13.69429778788541,0.0,62.2348747253418
600,7.741061290105184,20.16522346019745,14.11468231010443,0.0,79.97048950195312
700,9.036405599117279,20.65320246309042,14.021576958653808,0.0,78.48991394042969
800,10.30095459620158,22.76398814737797,15.897354866282727,0.0,82.88861846923828
900,11.561855415503183,20.368754130601882,14.554958771331894,0.0,73.74158477783203
1000,12.824458738168081,20.285796824097634,14.400837384555558,0.0,76.08142852783203
1100,14.080465988318126,20.399866248965264,13.498846304729295,0.0,68.8575439453125
1200,15.347384123007457,21.559249397814273,13.700556287220941,0.0,64.94282531738281
1300,16.62950934966405,23.481359305381776,15.235493229367872,0.0,66.10787200927734
1400,17.899029326438903,20.307657756507396,14.095566921141296,0.0,71.34933471679688
1500,19.172456709543862,21.302873817980288,14.404517819656707,0.0,66.94572448730469
1600,20.4516233364741,22.094432790279388,14.143587613417248,0.0,69.76533508300781
1700,21.729686693350473,21.76145115673542,14.421260401889793,0.0,64.94194793701172
1800,23.01320787668228,22.850339382886887,15.020738862774886,0.0,70.26728057861328
1900,24.268929100036623,20.483367629647255,14.81489084584393,0.0,65.2959213256836
2000,25.53215995232264,21.978659128546713,15.078384984218626,0.0,73.41861724853516
2100,26.81494561036428,21.23274867415428,14.72213114750057,0.0,74.47203063964844
2200,28.10262809197108,20.906915903687477,13.314980419960431,0.0,60.32663345336914
2300,29.381425321102142,21.958339411318303,15.654343060078961,0.0,76.77684783935547
2400,30.674072929223378,22.247603616416455,14.769314721777603,0.0,82.21224212646484
2500,31.963085754712424,22.55795610129833,16.04097200651625,0.0,87.07841491699219
2600,33.23697608311971,22.718773548603057,16.105235196910904,0.0,79.17121124267578
2700,34.488649892807004,22.47337550997734,15.967434959682622,0.0,78.30316925048828
2800,35.744929909706116,22.808943471312524,15.117689883339398,0.0,77.25834655761719
2900,37.000259462992354,21.9739757668972,13.79302426996895,0.0,61.692317962646484
