iteration,elapsed time,mean reward,stddev reward,min reward,max reward
0,0.01369881232579549,25.191293919086455,18.558322701412397,0.0,86.08968353271484
100,1.3415986537933349,30.450366006493567,21.641278913350256,0.0,95.5346450805664
200,2.6408167521158856,32.38162943571806,23.217748861309865,0.9585508108139038,96.7154312133789
300,3.945746616522471,31.26561768770218,22.464566244014545,0.0,94.19425964355469
400,5.227817726135254,33.62329345375299,23.616221529118153,0.0,98.77188110351562
500,6.491223140557607,35.26737532138824,26.018940662796343,0.9964298009872437,104.73473358154297
600,7.750473745663961,35.706674563288686,23.643560175400616,0.0,98.06806945800781
700,8.993146340052286,35.21211377799511,25.331819562300478,0.0,102.12123107910156
800,10.230988895893097,35.22954711198807,28.21310859649205,0.0,138.49964904785156
900,11.472131395339966,37.760548347234725,29.403525480764618,0.0,156.92068481445312
1000,12.713006766637166,39.6555624461174,28.43393064738917,0.0,127.10234069824219
1100,13.943454241752624,41.28258457630873,28.20185670139019,0.0,121.11659240722656
1200,15.171066331863404,38.93196867465973,26.79145881533275,0.9901434183120728,124.0412826538086
1300,16.400788168112438,36.999121935665606,26.38942669350068,0.0,109.0826187133789
1400,17.639743411540984,39.46386111587286,29.734251587926078,0.0,141.2100830078125
1500,18.872668679555257,38.27483933478594,27.219713836788575,0.0,152.57337951660156
1600,20.103354835510252,43.02177226185799,30.05493685954388,0.0,199.272705078125
1700,21.336638402938842,41.33186136126518,28.953656772629607,0.0,153.98605346679688
1800,22.563811727364858,40.16078266441822,28.062598027448512,0.0,137.43348693847656
1900,23.80438986221949,36.79358318656683,27.18411931352147,0.0,127.66242980957031
2000,25.027957626183827,38.968623767793176,29.859127085458336,0.0,113.9807357788086
2100,26.267603079477947,38.77773919343949,29.85428125940594,0.0,139.7601776123047
2200,27.508323136965434,41.98976015985012,30.46669723498553,0.9676483869552612,132.81910705566406
2300,28.756323790550233,41.17318811058998,29.15449720574261,0.9897533655166626,138.8875274658203
