iteration,elapsed time,mean reward,stddev reward,min reward,max reward
0,0.017254034678141277,24.361915504634382,20.330618877735574,0.0,83.3005142211914
100,1.8417411287625631,36.10090670078993,25.738935614839818,0.0,107.66683959960938
200,3.5558571577072144,34.689926378428936,22.919356256899107,0.0,100.9542465209961
300,5.2425503174463906,37.80631223827601,27.377715756208076,0.0,114.98883819580078
400,6.9313561836878455,38.95281402736902,29.020052414884063,0.0,127.05833435058594
500,8.653402578830718,41.62206149995327,29.96697239676095,0.0,140.88711547851562
600,10.384425365924836,39.41306802451611,29.330162438553568,0.993963360786438,129.89730834960938
700,12.111070688565572,35.533390014469624,28.754176166625093,0.0,150.62710571289062
800,13.841043361028035,43.31197210848332,30.039061682215053,0.0,127.48968505859375
900,15.514713406562805,35.927243629992006,24.738459989763435,0.0,104.1469955444336
1000,17.204194947083792,38.081313588917254,26.630600752510855,0.0,111.83081817626953
1100,18.881940507888793,39.249266768097876,30.625754471331657,0.0,167.2668914794922
1200,20.57278691927592,39.08069584399462,29.21175973828239,0.0,161.80601501464844
1300,22.30064908663432,38.364220324158666,29.03649432151123,0.0,132.37103271484375
1400,24.01319069067637,38.759325103759764,28.919039301200442,0.0,125.34162902832031
1500,25.692909340063732,42.51354687601328,35.06413574364987,0.9703070521354675,187.05438232421875
1600,27.376276512940724,39.058238068819044,31.22407903818717,0.0,139.78700256347656
1700,29.085231328010558,41.504179794788364,29.65899104902072,0.0,137.85321044921875
1800,30.762972287336986,43.21431740343571,32.180632616448136,0.0,150.80210876464844
1900,32.491913227240246,39.641479020118716,32.80959974657558,0.0,169.09390258789062
2000,34.18535228172938,41.94895538985729,32.40468388184357,0.9941670298576355,183.92550659179688
2100,35.88269522190094,45.273093429207805,35.42820765712595,0.9506242275238037,167.92959594726562
2200,37.587571144104004,44.58396654963494,30.237655562957087,0.9971221685409546,131.30079650878906
2300,39.289089481035866,40.95786425024271,29.98523412447132,0.0,141.73878479003906
2400,40.97956018050512,38.58242565691471,29.6880758911364,0.0,128.77781677246094
2500,42.6775018731753,40.76335515886545,30.3180378306514,0.0,137.4575653076172
2600,44.380256191889444,40.82798248410225,31.190793602395924,0.0,168.78277587890625
2700,46.08407904704412,46.768275496661666,33.64071531422229,0.0,168.2383270263672
2800,47.801269221305844,47.04651303082704,35.19520469306303,0.0,177.51576232910156
2900,49.51547607183456,41.00973265349865,29.864584431187218,0.0,126.6858139038086
3000,51.224344209829965,41.04402368426323,32.6615311710581,0.0,133.19158935546875
3100,52.963627286752065,42.435540188848975,31.877477311327606,0.0,150.05653381347656
3200,54.66796595255534,42.38480797886849,31.946863167747363,0.9918234348297119,154.98089599609375
3300,56.389133262634275,42.321002780497075,33.274544166087445,0.0,186.24319458007812
3400,58.10556464592616,40.66863208085299,32.18145325013605,0.0,152.9490966796875
3500,59.806745227177935,45.84028627485037,37.25658298941467,0.0,165.70823669433594
3600,61.53783040444056,43.28268960952759,33.834171175922286,0.0,156.42628479003906
3700,63.27826770146688,43.662007645368575,30.211333269939672,0.0,169.5018768310547
3800,65.02664823134741,44.58868058800697,33.12188835706427,0.0,172.49005126953125
3900,66.74085624615351,46.47439938098192,37.15721626622608,0.9633257389068604,176.5443878173828
4000,68.45785303513209,41.311196428835395,34.41340899846235,0.0,186.60971069335938
4100,70.15797663529715,47.653912654817105,34.48574516379862,0.0,175.4270782470703
4200,71.86015292008717,40.53975709944964,28.795058231898373,0.0,161.92831420898438
4300,73.56782514651617,41.68686739951372,31.94986618768194,0.0,175.7361297607422
4400,75.28030101458232,45.044692952334884,32.1349306207305,0.9909824132919312,126.02598571777344
4500,76.99218334356944,42.69787693619728,34.707444329591524,0.0,175.8355712890625
4600,78.70348742405574,44.08205443263054,32.22118268337745,0.0,128.51702880859375
4700,80.40478037198385,45.148343544006345,33.4426678579599,0.0,156.4224395751953
4800,82.1346798300743,45.61800041615963,34.59429053366652,0.0,157.74081420898438
4900,83.84842092990876,42.88930973708629,34.24792893682818,0.0,157.51707458496094
5000,85.55205991665522,40.66577611833811,29.973170608485912,0.0,121.36121368408203
5100,87.27272216478984,42.82687765717506,30.95013495397435,0.0,154.08322143554688
5200,89.00340449810028,39.30917592048645,30.512227910121318,0.0,147.493408203125
5300,90.7282214363416,43.76213181257248,35.455856627906094,0.0,162.25689697265625
5400,92.44932824770609,47.62802855670452,33.697496881014736,0.9930909872055054,168.16053771972656
5500,94.17771804332733,40.43825232744217,32.394279931643055,0.0,177.74020385742188
5600,95.90430985689163,44.58256901830435,33.971724270201875,0.0,163.44667053222656
5700,97.62693065802256,42.15172530174255,33.43020002892766,0.0,151.05873107910156
5800,99.32920521100363,52.4811323478818,39.35182904416394,0.0,187.17617797851562
5900,101.03639572064081,45.750746389329436,33.89898555215149,0.0,150.2694091796875
6000,102.7591494123141,41.806359577775,33.47594557321697,0.0,164.0477294921875
6100,104.46626712481181,46.22050492584705,32.23947175062134,0.9304691553115845,144.49717712402344
6200,106.18982125123343,41.15836987435818,33.1762463260501,0.0,178.8094024658203
6300,107.92106690009435,42.82180964887142,34.37039597357594,0.0,192.26675415039062
6400,109.63954500754674,48.48559599637985,36.159851526716494,0.0,162.7470703125
6500,111.35725806156795,39.94657389909029,30.99016995095124,0.0,120.59905242919922
6600,113.07679164012274,47.63608168035746,38.16736679437276,0.0,177.17587280273438
6700,114.81059397856394,46.624899056851866,37.14723830003875,0.0,167.21731567382812
6800,116.5403440117836,44.729265371263025,37.93031602353163,0.0,172.70750427246094
6900,118.27114505370459,45.956836586594584,37.370491402133325,0.9593406915664673,164.8417205810547
7000,119.99863716363907,51.23034917533398,37.13611282425529,1.956994652748108,166.82595825195312
7100,121.73856738408406,43.43752311706543,36.28382485701177,0.0,186.67491149902344
7200,123.46881926457087,40.40589159220457,30.501400016028224,0.8639726638793945,149.1580352783203
7300,125.1994136929512,50.995355490148064,37.25456035672763,0.0,158.4248504638672
7400,126.97942444880803,50.01600555360317,40.09641256936544,0.0,189.5673065185547
7500,128.75281394720076,41.43181571513414,36.521352681802306,0.0,196.4423828125
7600,130.5451432307561,47.72050841987133,34.844589935862054,0.9267058372497559,166.14456176757812
7700,132.26605630318323,42.53997126162052,34.50351532323095,0.0,192.20372009277344
7800,133.98887519836427,48.21366483360529,34.452845188790896,0.9206357002258301,156.8551483154297
7900,135.70043247540792,42.604687146246434,34.31886491605608,0.0,175.13023376464844
8000,137.42465253273647,46.1541598045826,35.228171105648144,0.0,178.097412109375
8100,139.1298381725947,47.15769833445549,36.4736950449736,0.0,189.9668731689453
8200,140.8534273346265,43.11557884305716,35.44840747987308,0.9946925640106201,183.48046875
8300,142.58538586695988,48.32097379863262,33.39679960117267,0.0,164.0998077392578
8400,144.31237485408784,45.55147591620684,37.1555275278581,0.0,178.0633087158203
8500,146.04970407883326,49.505012443959714,40.028915958010586,0.9946578145027161,182.4755859375
8600,147.80149921576182,49.429887912869454,35.554624524516505,0.0,170.9857635498047
8700,149.58388675451278,44.589800420999524,35.82365659768073,0.9341166019439697,198.439208984375
8800,151.36584928830464,45.634925828278064,34.743423373800965,0.0,182.2075653076172
8900,153.08428607384363,45.4366104644537,36.284273053037545,0.0,171.61077880859375
9000,154.80798559983572,45.495695672631264,35.64722197202386,0.0,183.1630859375
9100,156.52252478599547,48.015421494841576,35.860342202346516,0.9634968042373657,170.11904907226562
9200,158.23689442078273,45.666784379482266,34.61731073267383,0.9948903322219849,151.5551300048828
9300,159.9480932354927,50.75220516175032,38.562357166200236,0.0,171.3865509033203
9400,161.6752586523692,49.40712140023708,33.96296771786839,0.0,134.59117126464844
9500,163.3963317513466,44.560173016488555,34.88237351473517,0.0,169.17575073242188
9600,165.1176828702291,45.07950708299875,34.04758918424304,0.9634255170822144,180.0521697998047
9700,166.8375734726588,48.01803463280201,34.52380246562145,0.9266740083694458,168.12062072753906
9800,168.55400401353836,49.87410588383675,34.74415043470978,0.0,149.7894744873047
9900,170.30014926989872,43.567124498784544,34.57688178942724,0.0,167.462646484375
10000,172.03171887000403,47.17649764955044,36.81951669375268,0.0,172.78045654296875
10100,173.7721271554629,47.32873387992382,34.636103415794324,0.0,160.80133056640625
10200,175.47137622435886,43.14148565888405,34.784179635508195,0.0,176.47879028320312
10300,177.18513554732004,43.45866321146488,33.996447957882474,0.0,176.1785125732422
10400,178.89753412008287,46.65537485301495,35.4021594125897,0.0,179.1333770751953
10500,180.62336750030516,40.72118102580309,33.73806086132347,0.0,149.83921813964844
10600,182.34858713150024,44.227399213910104,34.59481037525114,0.0,179.1290283203125
10700,184.07196083863576,49.60772574007511,35.74918640195867,0.0,197.501708984375
10800,185.80984487930934,46.526261192262176,35.65860812421812,0.0,166.63592529296875
10900,187.52983452479046,45.18403315901756,33.6661531672598,0.911919116973877,178.77853393554688
11000,189.28925073544184,45.10112148731947,33.35972058575839,0.0,142.18759155273438
11100,191.03764772017797,47.54334595561028,35.52526435904773,0.9375253915786743,188.9119110107422
11200,192.75049402713776,45.562437306344506,35.300193489047025,0.9507672190666199,168.654052734375
11300,194.4702509244283,44.2294485977292,37.37892077526117,0.0,196.82760620117188
11400,196.17903372049332,47.81425105124712,35.119754260486594,0.9961130023002625,174.5833282470703
11500,197.90134409268697,43.44477535307407,32.23838050532412,0.9599605798721313,141.46067810058594
11600,199.6170993924141,45.32225077152252,34.59733711669433,0.0,183.23304748535156
11700,201.32115878661475,41.18864197254181,34.01711654236165,0.9974164962768555,194.91729736328125
11800,203.0221086104711,45.06706244558096,34.891187455698415,0.0,197.77613830566406
11900,204.72429594596227,44.152836718559264,34.88117294128063,0.0,161.6060028076172
12000,206.44809067249298,46.51506553739309,35.29432248002526,0.0,172.13473510742188
12100,208.1755138595899,43.75401055455208,36.63443881093997,0.0,170.11764526367188
12200,209.89820161660512,48.556547129154204,37.92798518370866,0.0,168.62168884277344
12300,211.63050110737484,42.809548025727274,33.547065026766184,0.0,156.54190063476562
12400,213.37416592041652,46.52043860912323,38.32723582080226,0.0,176.2127685546875
12500,215.1165833791097,45.96914013504982,34.636122107507575,1.969564437866211,149.4888458251953
12600,216.854354317983,46.582862489819526,38.07142144632754,0.0,161.0354461669922
12700,218.5861121972402,46.28242874443531,34.94655518721835,0.0,166.51666259765625
12800,220.33349203268688,40.93182726562023,32.92318484370911,0.0,159.6649169921875
12900,222.06906971931457,45.62925205737352,32.30866292869143,0.9305042028427124,158.32473754882812
13000,223.80220483938854,49.711455947458745,38.38201738936061,0.9423292279243469,160.52822875976562
13100,225.5479196270307,47.628837139606475,34.75143008995026,0.0,184.8633575439453
13200,227.2756085673968,48.53526292741299,37.506173516570485,0.0,191.8792724609375
13300,229.00507551431656,42.84773988246918,32.63001680254106,0.9256972670555115,166.98226928710938
13400,230.74009032646816,46.816097683906555,36.951066169174055,0.9961539506912231,179.0254364013672
13500,232.47838631868362,47.060773159265516,35.65508223951902,0.9947935342788696,183.71707153320312
13600,234.19991085529327,47.90270256638527,37.46790526416482,0.9332672357559204,167.24305725097656
13700,235.92699511051177,46.68435310214758,34.39083143238799,0.0,176.81436157226562
13800,237.64326252937317,45.18342499643564,33.55950580415008,0.0,191.5845489501953
13900,239.36768778562546,47.071792041361334,38.1499193409459,0.0,193.41305541992188
14000,241.10198905865352,48.654803333580496,37.87676981888025,0.0,174.14639282226562
14100,242.83278906345367,48.2956384241581,36.97405473146263,0.0,189.899658203125
14200,244.571455959479,49.13536876231432,37.91018259177164,0.0,177.17984008789062
14300,246.29931117693584,43.097675915062425,36.513237910236164,0.0,185.1864776611328
14400,248.03029591242472,48.56798268914223,34.61189036122296,0.9144273996353149,163.34503173828125
14500,249.7622006813685,41.93365563988686,36.23991394397349,0.0,191.16915893554688
14600,251.48905818859737,46.94433401793241,33.61675208682227,0.0,181.34580993652344
14700,253.19569691816966,43.663906017839906,34.78529317958548,0.0,181.99954223632812
14800,254.89815109173458,43.13999400109053,32.20596984331773,0.0,149.9999237060547
14900,256.60737636884056,45.21378452330828,30.60513728400056,0.0,147.246337890625
15000,258.32466832796734,45.22785369545221,39.66451564042627,0.9655037522315979,192.98313903808594
15100,260.049797642231,48.86258528828621,37.905304297492016,0.0,174.1243896484375
15200,261.78678924242655,46.23182910919189,36.08021911876662,0.9868588447570801,188.85641479492188
15300,263.51158912181853,45.5080350959301,36.57704269089697,0.0,165.41445922851562
15400,265.2441784580549,48.336953900158406,32.68370691196683,0.9272443056106567,160.20997619628906
15500,266.9577531576157,49.93177280575037,37.60735984905232,0.0,193.4922332763672
15600,268.6876793662707,44.79498495578766,34.85898518643914,0.0,185.76319885253906
15700,270.4018791556358,44.00125708699226,29.98401579206387,0.0,125.87606048583984
15800,272.1123908440272,48.536663956940174,38.1528493079673,0.0,162.69796752929688
15900,273.82096623977026,40.958105944395065,32.063792573461896,0.0,128.34844970703125
16000,275.5419601718585,46.53748239338398,36.15642869727658,0.0,163.2526092529297
16100,277.2524099946022,41.45409255385399,32.91462627691067,0.0,154.31446838378906
16200,278.9633647441864,41.78227763801813,30.42820721314456,0.0,134.52865600585938
16300,280.67820281187693,48.6329696443677,35.330361999698525,0.0,144.6074676513672
16400,282.39966534376146,43.80427045166493,34.460114067127435,0.0,149.98446655273438
16500,284.12729226350785,44.87799661159515,32.92692812931669,0.0,144.6033935546875
16600,285.8510137796402,46.96810212612152,35.40126741019066,0.0,183.0139923095703
16700,287.5827203432719,44.43537141025067,32.72718906206335,0.0,172.19448852539062
16800,289.29694087902703,50.85752854198218,35.23018234842589,0.9656035900115967,178.2530059814453
16900,291.02262251377107,46.56153724610805,33.80393160293251,0.0,143.2893829345703
17000,292.7694698135058,45.23343616425991,33.48360626336086,0.0,152.1908721923828
17100,294.4992783546448,45.04711771965027,33.069325288064526,0.944692850112915,167.37945556640625
17200,296.22827088832855,44.08074020415545,36.117740797711974,0.9146422147750854,158.1999053955078
17300,297.9567196329435,41.52745422005653,30.897145802009447,0.0,145.34274291992188
17400,299.68691000541054,46.107931438088414,34.371987238185284,0.0,177.6844024658203
17500,301.4285945971807,43.83969486415386,34.93313993147862,0.0,151.75843811035156
17600,303.15252410968145,49.51850790888071,34.12307375466549,0.0,152.50253295898438
17700,304.8948093414307,49.86612934231758,37.25199307553438,0.0,199.87716674804688
17800,306.6341475605965,50.12631671190262,38.158960400376664,0.0,184.1949005126953
17900,308.36476126114525,47.67191293388605,36.73364861114805,0.9939517974853516,168.57508850097656
18000,310.0973088900248,45.29930827558041,34.99638653691959,0.0,177.9708251953125
18100,311.8441528320312,45.44034634917975,33.2570487526391,0.0,173.24124145507812
18200,313.58095116615294,45.842682113945486,36.67027225690337,0.0,165.8389434814453
18300,315.3196806470553,44.1105648547411,36.189969973736716,0.0,182.87815856933594
18400,317.06212202310564,42.94735308140516,34.57814539941234,0.0,159.5160675048828
18500,318.79860510428745,45.68638359040022,36.74495264562078,0.0,157.45339965820312
18600,320.5309867580732,45.70887790799141,31.48517151375154,0.948511004447937,142.43374633789062
18700,322.27747765382134,43.575219762921336,34.213522395823865,0.8922460079193115,157.40345764160156
18800,324.0306183775266,46.02732775270939,33.75702399312935,0.0,174.81436157226562
18900,325.77911098003386,49.64477699577808,37.58194528000781,0.0,188.33526611328125
19000,327.5050204435984,46.8147373688221,35.86906698507528,0.0,165.4822540283203
19100,329.23808037439983,48.849854395389556,35.625275332903065,0.0,173.08872985839844
19200,330.9620338241259,49.74992099970579,35.88321147153855,0.0,178.28353881835938
19300,332.67199594974517,45.68783992826938,35.66110440759462,0.0,154.6638641357422
19400,334.39047848383586,45.67979272007942,35.92129615521611,0.0,195.88723754882812
19500,336.1055332144102,50.602613357007506,39.969391096190535,0.0,175.79847717285156
19600,337.8369544784228,50.45500929623842,38.53054787436946,0.9654904007911682,189.5186767578125
19700,339.562192817529,44.08443404942751,37.22451065417348,0.0,171.52783203125
19800,341.29484429359434,44.31474689304829,36.94963179687163,0.0,194.55419921875
19900,343.0303567091624,49.41705667436123,33.93184830330408,0.0,149.58775329589844
20000,344.7731538613637,41.95565828889608,34.917335968681336,0.0,158.5547637939453
20100,346.51795032421745,48.509854036867615,36.695477116859124,0.868638277053833,167.0580291748047
20200,348.2563677549362,49.14017864942551,35.88104890307882,0.0,174.23426818847656
20300,349.9905646363894,44.96076924353838,36.106720320912466,0.0,182.25103759765625
20400,351.7290894786517,44.63984038084745,33.893793061331536,0.0,162.58677673339844
20500,353.4481220126152,45.205566497445105,32.91915242618893,0.0,143.7521514892578
20600,355.16342936356864,47.01409866690636,34.63504121771117,0.0,170.94264221191406
20700,356.89379633665084,41.85555610179901,29.702843734765775,0.9520878791809082,145.34510803222656
20800,358.63754068613054,45.111506345570085,35.094757279312525,0.0,166.3068389892578
20900,360.37200264136,48.091598909199234,35.28474719805254,0.0,165.80740356445312
21000,362.1100136359533,45.23508379727602,36.89888536228966,0.9531792998313904,177.73167419433594
21100,363.8487215677897,49.634299893379215,35.69458952871073,0.0,155.87466430664062
21200,365.57045741875964,43.219172121584414,36.491064496250615,0.0,196.1483612060547
21300,367.30169723828635,43.58961559414863,33.771241062850216,0.0,165.70114135742188
21400,369.0340975999832,44.868643165826796,36.38910698331195,0.0,195.51979064941406
21500,370.7633397221565,46.744901934862135,35.78524618153062,0.0,144.40493774414062
21600,372.4934014002482,41.37812369406223,32.38592543635448,0.0,138.59432983398438
21700,374.2219847957293,47.5298652279377,37.5065000477298,0.0,172.47262573242188
21800,375.9510024944941,48.639695488512515,33.966690352765546,0.0,136.69383239746094
21900,377.67631630102795,45.58168182551861,38.5144449058529,0.0,183.8148956298828
22000,379.4012882908185,46.8843922945857,37.24099124137458,0.9528375864028931,172.50686645507812
22100,381.1425558725993,43.265717459023,32.85268732124334,0.0,134.39373779296875
22200,382.89180215994514,47.261401779949665,37.619432483173725,0.0,168.42410278320312
22300,384.6303986112277,46.32722805917263,34.89915508523913,0.0,175.9329376220703
22400,386.370807937781,45.250830910503865,33.02657479958388,0.9961727857589722,146.22718811035156
22500,388.11157199939095,47.15762445271015,34.3240405345546,0.0,172.42864990234375
22600,389.8526250600815,45.36960984647274,33.44386162873494,0.0,150.87435913085938
22700,391.58832539717355,48.24475259840489,38.86942334288391,0.0,194.3157958984375
22800,393.31747939586637,45.24617020368576,35.29291052873046,0.0,162.50819396972656
22900,395.0514560699463,44.62915395051241,33.420338327336374,0.9205494523048401,160.87400817871094
